strategy,or_minutes,session,direction,horizon_bars,n_events,mean_fwd_ret,median_fwd_ret,hit_rate,mean_fwd_ret_net
v2_orb,15,london,long,3,293,9.289834112230292e-06,-8.798866705794772e-06,0.4948805460750853,-9.071016588776971e-05
v2_orb,15,london,long,6,293,3.783565947787854e-05,-1.707621113022917e-05,0.4778156996587031,-6.216434052212146e-05
v2_orb,15,london,long,12,293,3.962756751113174e-05,6.859827989824652e-05,0.5290102389078498,-6.037243248886826e-05
v2_orb,15,london,short,3,282,1.0166362396405425e-05,-1.7635547936101226e-05,0.4574468085106383,-8.983363760359457e-05
v2_orb,15,london,short,6,282,4.2416245543765586e-05,-2.631570795585958e-05,0.48226950354609927,-5.758375445623442e-05
v2_orb,15,london,short,12,282,0.0001178341418091305,8.657641660830828e-05,0.5283687943262412,1.7834141809130498e-05
v2_orb,15,ny,long,3,281,-3.5636019154167004e-05,-4.312315109500364e-05,0.4697508896797153,-0.000135636019154167
v2_orb,15,ny,long,6,281,-3.750599861798739e-05,4.6162510502156806e-05,0.5160142348754448,-0.0001375059986179874
v2_orb,15,ny,long,12,281,3.788769693783464e-05,0.00012016961082217392,0.5444839857651246,-6.211230306216536e-05
v2_orb,15,ny,short,3,296,-8.539157664294021e-05,-9.104422612482566e-06,0.48986486486486486,-0.0001853915766429402
v2_orb,15,ny,short,6,296,-9.85621507969585e-05,-3.643025838762082e-05,0.4864864864864865,-0.0001985621507969585
v2_orb,15,ny,short,12,296,-0.000134922036537857,-0.00011295674785960497,0.4560810810810811,-0.00023492203653785698
v2_orb,30,london,long,3,277,-2.9296860193363745e-05,-3.447740867801308e-05,0.4620938628158845,-0.00012929686019336374
v2_orb,30,london,long,6,277,7.012479514066022e-06,8.573902754660523e-06,0.5018050541516246,-9.298752048593398e-05
v2_orb,30,london,long,12,277,2.7425044587440334e-05,6.400526671912488e-05,0.5379061371841155,-7.257495541255967e-05
v2_orb,30,london,short,3,279,-3.9322638254723406e-05,-1.851440420641559e-05,0.4731182795698925,-0.00013932263825472342
v2_orb,30,london,short,6,279,-4.666448123600199e-06,-3.4616749314153594e-05,0.4767025089605735,-0.0001046664481236002
v2_orb,30,london,short,12,279,1.0928970784609663e-05,0.0,0.4982078853046595,-8.907102921539034e-05
v2_orb,30,ny,long,3,282,-5.731192712564852e-05,-9.216561134006707e-06,0.4858156028368794,-0.00015731192712564854
v2_orb,30,ny,long,6,282,-1.0638555491549694e-05,4.876929400188246e-05,0.5212765957446809,-0.0001106385554915497
v2_orb,30,ny,long,12,282,-1.6489290564979237e-05,1.386246420531645e-05,0.5070921985815603,-0.00011648929056497924
v2_orb,30,ny,short,3,281,-1.9660757443180766e-05,-5.262603936428967e-05,0.45195729537366547,-0.00011966075744318077
v2_orb,30,ny,short,6,281,-1.740083492890948e-05,-8.279744983874515e-05,0.45195729537366547,-0.00011740083492890949
v2_orb,30,ny,short,12,281,-2.6714813188736043e-05,0.0,0.49110320284697506,-0.00012671481318873604
v2_orb,60,london,long,3,251,4.3290800087683084e-05,4.3274307178542415e-05,0.5418326693227091,-5.670919991231692e-05
v2_orb,60,london,long,6,251,3.4359217520468625e-05,4.508281713522244e-05,0.5338645418326693,-6.564078247953138e-05
v2_orb,60,london,long,12,251,2.207815406240291e-05,2.5648917615583855e-05,0.5059760956175299,-7.79218459375971e-05
v2_orb,60,london,short,3,245,-3.8047936296530565e-05,-4.641146548833852e-05,0.46122448979591835,-0.00013804793629653057
v2_orb,60,london,short,6,245,-0.00014549240627781355,-0.00015373446641331334,0.40816326530612246,-0.00024549240627781357
v2_orb,60,london,short,12,245,-0.00011808856989638936,-5.7183157653906136e-05,0.4530612244897959,-0.00021808856989638937
v2_orb,60,ny,long,3,265,-8.325142687111908e-05,-3.4705050452554786e-05,0.4528301886792453,-0.00018325142687111907
v2_orb,60,ny,long,6,265,-8.200884361760479e-05,-9.158851113522104e-06,0.4981132075471698,-0.0001820088436176048
v2_orb,60,ny,long,12,265,-2.505194348588862e-05,-5.9881264007910495e-05,0.49433962264150944,-0.00012505194348588864
v2_orb,60,ny,short,3,244,-4.774724201940005e-05,-1.3540562266767253e-05,0.4959016393442623,-0.00014774724201940007
v2_orb,60,ny,short,6,244,5.0885781086994324e-05,0.0,0.4959016393442623,-4.911421891300568e-05
v2_orb,60,ny,short,12,244,-3.766948473467791e-05,-5.441392876281981e-07,0.5,-0.00013766948473467792
v1_rolling,8,london,long,3,2288,7.39028996244376e-06,-9.125039644564126e-06,0.486013986013986,-9.260971003755625e-05
v1_rolling,8,london,long,6,2288,1.2804410071254925e-05,-9.108134154944825e-06,0.48994755244755245,-8.719558992874508e-05
v1_rolling,8,london,long,12,2288,2.938005212450793e-05,-4.1949124102713675e-06,0.4951923076923077,-7.061994787549208e-05
v1_rolling,8,london,short,3,2066,-4.558516952692651e-06,-1.8427885150607004e-05,0.46708615682478216,-0.00010455851695269266
v1_rolling,8,london,short,6,2066,4.7257157170439105e-07,-3.5294825880716196e-05,0.4743465634075508,-9.952742842829562e-05
v1_rolling,8,london,short,12,2066,2.2621708608425422e-05,-9.214155638148647e-06,0.4878993223620523,-7.737829139157458e-05
v1_rolling,8,ny,long,3,2174,-1.1459828911215376e-05,-9.18315257969482e-06,0.48758049678012877,-0.00011145982891121539
v1_rolling,8,ny,long,6,2174,4.484698894387053e-06,8.650687425504344e-06,0.5022999080036799,-9.551530110561295e-05
v1_rolling,8,ny,long,12,2174,3.2402513783631056e-05,3.94196040395256e-05,0.5105795768169273,-6.759748621636895e-05
v1_rolling,8,ny,short,3,2079,-5.6250874781352965e-05,-4.240666293497952e-05,0.4665704665704666,-0.00015625087478135296
v1_rolling,8,ny,short,6,2079,-6.470056236470832e-05,-5.433158566736651e-05,0.468013468013468,-0.00016470056236470834
v1_rolling,8,ny,short,12,2079,-7.507304093497288e-05,-5.6409533210954876e-05,0.47715247715247716,-0.0001750730409349729
